artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,ID,Gender,Age,Country,Genres,Followers,URI
Little Mix,Black Magic,211773,FALSE,2015,1,0.777,0.896,4,-4.467,1,0.0619,0.0352,0,0.317,0.843,111.987,pop,3e7awlrlDSwF3iM0WBjGMp,mixed,8,GB,"['girl group', 'pop', 'talent show', 'uk pop']",11836357,spotify:artist:3e7awlrlDSwF3iM0WBjGMp
Drake,Started From the Bottom,174120,TRUE,2013,65,0.794,0.523,8,-7.829,1,0.161,0.0331,0,0.156,0.56,86.307,"hip hop, pop, R&B",3TVXtAsR1Inumwj472S9r4,male,33,CA,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83298497,spotify:artist:3TVXtAsR1Inumwj472S9r4
Chris Brown,Beautiful People,225881,FALSE,2019,53,0.415,0.775,5,-6.366,0,0.161,0.0658,0.00431,0.0843,0.536,127.898,"hip hop, pop, R&B",7bXgB6jMjp9ATFy66eO08Z,male,31,US,"['r&b', 'rap']",21064273,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Coldplay,A Sky Full of Stars,267866,FALSE,2014,80,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,"rock, pop",4gzpq5DPGxSnKTe4SA8HAU,mixed,23,GB,"['permanent wave', 'pop']",48792512,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
Icona Pop,I Love It,156773,TRUE,2012,51,0.71,0.901,1,-2.686,1,0.0296,0.00828,1.34E-05,0.172,0.86,125.953,"pop, Dance/Electronic",1VBflYyxBhnDc9uVib98rw,mixed,11,SE,"['candy pop', 'dance pop', 'electropop', 'metropopolis', 'swedish electropop', 'swedish synthpop']",714615,spotify:artist:1VBflYyxBhnDc9uVib98rw
MNEK,Never Forget You,213427,FALSE,2015,45,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86E-06,0.269,0.276,145.992,Dance/Electronic,7uMh23xWiuR7zsNkuNcm2G,male,25,GB,"['house', 'pop dance', 'uk contemporary r&b', 'uk dance', 'uk pop']",283363,spotify:artist:7uMh23xWiuR7zsNkuNcm2G
U2,Vertigo,193520,FALSE,2004,64,0.416,0.819,9,-3.974,1,0.0613,0.000138,0.00108,0.147,0.632,140.083,"World/Traditional, rock",51Blml2LZPmy7TTiAg47vQ,mixed,44,IE,"['irish rock', 'permanent wave', 'rock']",11810788,spotify:artist:51Blml2LZPmy7TTiAg47vQ
Justin Timberlake,Suit & Tie (feat. Jay-Z),326280,TRUE,2013,67,0.795,0.596,11,-3.799,0,0.219,0.103,0,0.164,0.357,101.985,pop,31TPClRtHm23RisEBtV3X7,male,39,US,"['dance pop', 'pop']",13587602,spotify:artist:31TPClRtHm23RisEBtV3X7
T.I.,Whatever You Like,249533,TRUE,2008,74,0.68,0.687,9,-6.162,0,0.0709,0.0161,0,0.261,0.467,150.053,"hip hop, pop",4OBJLual30L7gRl5UkeRcT,male,39,US,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4742702,spotify:artist:4OBJLual30L7gRl5UkeRcT
Sam Smith,Like I Can,167065,FALSE,2014,79,0.656,0.627,7,-6.627,0,0.0379,0.343,2.17E-05,0.124,0.481,99.933,pop,2wY79sveU1sp5g7SokKOiI,other,28,GB,"['pop', 'uk pop']",23538152,spotify:artist:2wY79sveU1sp5g7SokKOiI
The Fray,Never Say Never,256613,FALSE,2009,67,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18E-06,0.176,0.262,160.139,pop,0zOcE3mg9nS6l3yxt1Y0bK,mixed,18,US,"['neo mellow', 'piano rock', 'pop', 'pop rock']",4031714,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK
Nickelback,When We Stand Together,190786,FALSE,2011,65,0.446,0.9,10,-3.541,0,0.0489,0.000102,1.89E-05,0.0404,0.88,187.961,"rock, metal",6deZN1bslXzeGvOLaLMOIF,mixed,25,CA,"['alternative metal', 'canadian rock', 'post-grunge']",6650490,spotify:artist:6deZN1bslXzeGvOLaLMOIF
Nelly,Country Grammar (Hot Shit),287000,TRUE,2000,68,0.865,0.664,2,-6.822,1,0.108,0.00689,0,0.142,0.565,162.831,"hip hop, pop, R&B",2gBjLmx6zQnFGQJCAQpRgw,male,45,US,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",2614317,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw
Kelly Clarkson,Since U Been Gone,188960,FALSE,2004,71,0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999,"pop, R&B",3BmGtnKgCSGYIUhmivXKWX,female,38,US,"['dance pop', 'pop', 'talent show']",10349957,spotify:artist:3BmGtnKgCSGYIUhmivXKWX
Cardi B,Money,183527,TRUE,2018,73,0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,"hip hop, pop",4kYSro6naA4h99UJvo89HB,female,27,US,"['pop', 'rap']",22873770,spotify:artist:4kYSro6naA4h99UJvo89HB
Far East Movement,Like A G6,216893,FALSE,2010,73,0.435,0.837,3,-8.126,1,0.449,0.00676,0,0.117,0.778,124.913,"hip hop, pop",698hF4vcwHwPy8ltmXermq,mixed,17,US,"['asian american hip hop', 'dance pop', 'pop rap']",1149901,spotify:artist:698hF4vcwHwPy8ltmXermq
